Level,CP Multiplier
1,0.0940000000
1.5,0.1351374318
2,0.1663978700
2.5,0.1926509190
3,0.2157324700
3.5,0.2365726613
4,0.2557200500
4.5,0.2735303812
5,0.2902498800
5.5,0.3060573775
6,0.3210876000
6.5,0.3354450362
7,0.3492126800
7.5,0.3624577511
8,0.3752356000
8.5,0.3875924160
9,0.3995672800
9.5,0.4111935514
10,0.4225000000
10.5,0.4329264091
11,0.4431075500
11.5,0.4530599591
12,0.4627984000
12.5,0.4723360930
13,0.4816849500
13.5,0.4908558003
14,0.4998584400
14.5,0.5087017650
15,0.5173939500
15.5,0.5259425113
16,0.5343543000
16.5,0.5426357375
17,0.5507927000
17.5,0.5588305862
18,0.5667545000
18.5,0.5745691333
19,0.5822789000
19.5,0.5898879072
20,0.5974000000
20.5,0.6048236651
21,0.6121573000
21.5,0.6194041216
22,0.6265671000
22.5,0.6336491432
23,0.6406529500
23.5,0.6475809666
24,0.6544356300
24.5,0.6612192524
25,0.6679340000
25.5,0.6745818959
26,0.6811649000
26.5,0.6876849038
27,0.6941436500
27.5,0.7005428700
28,0.7068842000
28.5,0.7131691091
29,0.7193991000
29.5,0.7255756136
30,0.7317000000
30.5,0.7347410093
31,0.7377695000
31.5,0.7407855938
32,0.7437894300
32.5,0.7467812109
33,0.7497610400
33.5,0.7527290867
34,0.7556855000
34.5,0.7586303683
35,0.7615638400
35.5,0.7644860647
36,0.7673971700
36.5,0.7702972656
37,0.7731865000
37.5,0.7760649616
38,0.7789327500
38.5,0.7817900548
39,0.7846370000
39.5,0.7874736075
40,0.7903000000

